Leerstehende Wohnungen (Anzahl) nach Gemeinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeindenummer,Ort,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0001,0001 Aeugst am Albis,2,4,4,4,3,1,4,4,4,14,5,4,2,4,9,4,11,1,4,14,18,19,23,14,52,49,39,2,2
0002,0002 Affoltern am Albis,14,84,16,41,16,11,15,20,17,25,31,61,43,23,34,19,23,32,22,32,45,43,69,84,62,58,66,39,35
0003,0003 Bonstetten,36,28,27,18,19,4,2,0,5,60,53,33,22,8,7,7,4,6,4,34,15,53,43,26,25,29,17,8,7
0004,0004 Hausen am Albis,21,23,14,17,32,11,8,1,1,7,29,30,16,13,25,28,34,29,21,17,15,15,14,29,29,11,10,8,4
0005,0005 Hedingen,17,24,17,16,15,18,13,16,6,22,59,74,42,29,31,20,16,11,37,12,26,15,23,42,18,16,14,15,20
0006,0006 Kappel am Albis,4,0,0,4,2,3,0,0,3,4,3,4,7,7,3,25,21,22,24,21,35,18,13,21,27,12,14,12,10
0007,0007 Knonau,2,3,12,19,9,8,3,2,0,2,4,15,9,2,6,2,25,70,15,14,4,15,15,19,12,6,6,5,3
0008,0008 Maschwanden,1,4,7,3,4,3,3,0,3,2,1,1,11,5,6,16,9,4,3,7,5,7,13,6,10,9,0,3,0
0009,0009 Mettmenstetten,27,61,41,55,41,36,22,14,19,30,29,23,26,41,17,16,36,41,47,19,24,34,33,35,15,30,16,15,3
0010,0010 Obfelden,22,46,34,31,30,30,17,13,8,12,15,39,34,9,24,6,9,8,15,20,16,40,85,104,103,54,50,38,47
0011,0011 Ottenbach,3,5,6,1,7,6,6,1,0,3,11,6,6,13,12,5,9,5,4,14,26,16,26,18,23,14,8,7,9
0012,0012 Rifferswil,8,0,1,0,2,0,0,1,0,0,0,0,0,6,9,0,0,1,1,2,3,20,13,0,2,6,5,8,1
0013,0013 Stallikon,10,33,13,9,47,1,0,3,4,14,9,16,12,14,20,18,34,12,15,13,13,12,12,42,42,19,25,19,32
0014,0014 Wettswil am Albis,0,7,2,1,1,0,0,1,0,0,0,10,4,2,0,0,0,0,0,0,3,5,10,7,6,7,11,13,11
0022,0022 Benken (ZH),5,11,5,4,3,8,12,1,1,5,1,0,2,5,17,4,5,8,11,10,7,5,4,5,3,4,4,4,2
0023,0023 Berg am Irchel,1,4,1,1,3,2,0,1,2,1,1,2,2,0,2,0,4,2,3,1,1,2,0,2,3,6,1,3,2
0024,0024 Buch am Irchel,3,3,1,0,0,1,3,4,3,3,5,11,8,1,1,4,4,1,2,2,1,1,4,4,6,5,1,4,0
0025,0025 Dachsen,1,6,11,1,0,0,0,0,0,0,5,5,7,5,8,9,5,2,21,16,24,29,28,25,10,21,10,7,3
0026,0026 Dorf,3,3,6,2,4,3,3,4,3,4,2,4,0,0,2,1,1,2,4,1,0,3,5,8,3,6,2,3,3
0027,0027 Feuerthalen,5,26,10,20,17,12,9,17,14,14,11,22,23,25,8,6,11,18,12,11,28,31,31,35,39,41,23,11,15
0028,0028 Flaach,2,0,7,7,2,9,2,2,2,6,4,4,3,1,4,4,4,2,1,5,5,4,3,23,11,28,13,6,11
0029,0029 Flurlingen,2,8,7,6,17,11,7,6,1,4,4,2,2,2,11,4,4,1,2,2,7,5,2,4,12,10,4,7,5
0031,0031 Henggart,22,10,8,8,14,10,14,10,11,6,0,2,4,5,2,5,3,5,3,3,8,4,3,3,3,9,10,9,9
0033,0033 Kleinandelfingen,3,11,17,21,11,9,10,12,11,8,7,8,16,20,13,13,11,20,10,10,14,12,12,16,20,31,14,19,15
0034,0034 Laufen-Uhwiesen,0,7,2,4,7,7,1,2,1,2,3,7,7,3,2,5,4,15,4,4,12,4,15,16,7,12,10,4,6
0035,0035 Marthalen,4,3,0,1,17,6,7,0,0,3,4,7,14,8,5,12,6,1,4,3,5,5,6,5,6,8,3,2,4
0037,0037 Ossingen,12,7,10,7,15,10,17,20,14,8,16,15,7,4,6,9,10,12,10,11,37,11,44,26,5,14,15,7,5
0038,0038 Rheinau,4,9,14,11,8,8,16,4,0,4,2,4,8,5,6,4,7,8,9,8,6,9,9,14,17,15,4,5,14
0039,0039 Thalheim an der Thur,2,8,4,5,2,7,1,1,5,1,4,7,5,3,3,3,2,0,5,1,4,2,10,7,6,4,3,4,3
0040,0040 Trüllikon,12,18,13,10,14,8,15,10,14,10,11,11,10,12,8,10,5,4,10,3,5,7,8,11,8,5,4,6,6
0041,0041 Truttikon,0,0,3,2,0,1,6,1,2,1,1,1,1,1,1,0,0,1,1,1,1,5,0,1,0,1,0,0,2
0043,0043 Volken,1,0,1,3,4,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,5,0,1,1,1,4
0051,0051 Bachenbülach,10,29,17,6,8,6,4,6,7,42,27,18,12,11,11,15,26,13,2,18,20,19,18,20,21,11,17,14,9
0052,0052 Bassersdorf,2,20,32,55,49,58,22,24,14,7,17,41,40,45,32,21,49,26,30,25,65,66,59,51,39,51,46,40,26
0053,0053 Bülach,76,43,59,44,24,16,17,70,90,86,234,294,211,146,145,137,146,119,147,157,176,152,178,201,170,256,89,105,79
0054,0054 Dietlikon,11,33,20,14,13,6,5,2,3,5,13,7,85,52,20,9,99,6,6,2,7,2,12,27,3,7,19,3,5
0055,0055 Eglisau,0,1,0,2,2,2,2,5,8,41,15,38,24,9,23,24,23,24,33,7,22,28,28,28,27,39,23,35,26
0056,0056 Embrach,21,19,31,50,37,38,14,15,22,35,38,54,36,32,35,36,22,49,65,51,57,58,40,60,51,62,67,38,38
0057,0057 Freienstein-Teufen,19,10,21,8,5,3,4,2,3,3,7,11,10,3,5,2,7,5,5,6,7,9,8,7,7,8,7,3,4
0058,0058 Glattfelden,31,38,63,82,72,57,21,13,10,19,29,35,21,18,23,14,18,20,17,39,23,30,30,13,47,49,41,25,38
0059,0059 Hochfelden,23,35,34,18,28,19,2,12,12,7,11,11,7,11,18,13,8,6,10,6,3,4,7,9,4,10,4,6,6
0060,0060 Höri,0,9,5,2,3,6,5,0,0,3,6,4,2,0,2,6,2,0,2,6,2,8,9,9,10,9,11,5,14
0061,0061 Hüntwangen,9,6,13,12,8,6,5,6,10,5,4,2,5,2,0,2,10,3,7,9,27,2,5,6,5,7,7,4,3
0062,0062 Kloten,62,62,54,35,39,18,7,9,22,46,84,76,82,54,69,27,80,53,102,204,125,54,55,85,87,73,85,67,49
0063,0063 Lufingen,3,10,9,11,6,10,2,3,0,2,1,2,3,15,1,1,1,1,0,5,4,9,8,4,8,13,12,14,6
0064,0064 Nürensdorf,12,23,19,10,5,10,1,9,12,15,18,15,14,22,8,16,8,10,40,23,43,86,26,29,17,35,14,16,16
0065,0065 Oberembrach,2,2,3,1,3,5,3,1,1,2,7,2,2,2,0,2,3,3,5,1,1,4,0,2,3,9,3,4,2
0066,0066 Opfikon,6,84,74,121,149,112,153,277,71,76,108,123,115,110,118,175,82,75,72,81,95,116,106,51,73,191,178,153,61
0067,0067 Rafz,14,29,83,68,32,38,26,17,7,8,15,19,26,14,19,17,26,20,18,16,18,17,50,34,29,24,19,25,16
0068,0068 Rorbas,10,25,29,17,14,9,3,1,1,14,16,7,19,13,21,20,14,10,10,8,7,18,13,21,20,24,11,7,5
0069,0069 Wallisellen,73,123,164,165,154,110,86,76,81,145,97,117,121,98,70,89,104,75,98,198,61,55,73,98,54,68,83,80,299
0070,0070 Wasterkingen,1,0,10,7,2,4,1,0,0,0,0,4,3,1,2,0,0,2,0,0,2,1,3,5,8,3,8,5,10
0071,0071 Wil (ZH),2,2,1,5,5,4,3,4,2,3,1,5,10,3,3,4,5,5,1,2,3,20,23,9,5,16,5,6,7
0072,0072 Winkel,1,22,53,35,15,13,2,4,3,15,17,34,12,24,10,13,32,18,41,13,10,28,16,34,11,13,14,2,9
0081,0081 Bachs,1,0,3,0,0,0,5,0,0,0,2,2,5,2,2,2,1,1,0,1,1,0,2,4,8,0,2,3,1
0082,0082 Boppelsen,0,3,2,4,2,3,4,2,1,5,3,2,11,1,1,0,2,2,5,2,4,2,4,4,5,4,2,0,2
0083,0083 Buchs (ZH),2,8,21,33,5,8,7,0,4,13,28,18,26,14,5,4,12,43,9,8,9,31,61,39,17,45,35,38,28
0084,0084 Dällikon,64,45,23,28,41,11,4,3,8,7,15,29,15,13,19,5,4,2,6,12,7,6,7,5,8,5,4,7,2
0085,0085 Dänikon,6,18,13,19,6,0,4,1,1,2,6,9,4,0,2,2,3,1,2,0,2,4,4,4,4,4,3,0,1
0086,0086 Dielsdorf,36,55,52,68,54,25,5,13,9,14,64,21,46,28,31,35,23,22,9,12,20,25,18,21,25,20,47,10,7
0087,0087 Hüttikon,0,0,0,0,0,0,0,2,0,2,2,1,4,4,2,2,2,2,2,4,12,4,4,4,1,1,1,1,2
0088,0088 Neerach,14,5,12,11,20,11,12,25,4,15,10,47,41,30,35,22,21,17,24,23,23,17,22,24,15,15,12,7,7
0089,0089 Niederglatt,4,25,24,31,17,8,10,4,2,32,32,32,25,22,36,20,20,12,13,21,21,12,16,23,28,23,22,18,8
0090,0090 Niederhasli,26,87,48,43,36,14,15,7,20,44,47,62,57,38,18,47,58,31,25,34,25,31,22,56,53,56,42,45,42
0091,0091 Niederweningen,13,27,21,17,3,9,8,1,0,4,0,2,3,10,1,1,3,3,6,9,14,18,21,16,15,13,4,4,10
0092,0092 Oberglatt,40,55,81,82,73,91,60,35,25,56,49,56,50,41,38,40,15,11,45,11,31,42,18,36,33,15,13,16,20
0093,0093 Oberweningen,0,1,0,2,2,0,0,0,0,25,21,22,21,23,7,12,12,6,8,8,13,11,12,15,9,11,8,11,9
0094,0094 Otelfingen,4,0,11,6,0,0,0,0,0,0,6,4,2,0,7,7,14,18,6,8,9,11,11,37,12,21,14,15,13
